year,winter,spring,summer,autumn,annual
1878,NA,4.97,11.48,5.69,5.73
1879,-1.93,2.76,10.36,5.63,4.33
1880,-0.23,4.08,11.37,5.55,5.61
1881,-0.27,3.82,10.4,6.37,5.01
1882,2.65,4.79,10.33,5.88,5.93
1883,2.09,2.43,10.16,6.34,5.34
1884,3.03,4.06,11.01,6.16,6.06
1885,1.84,2.91,9.79,5.26,4.86
1886,-0.01,3.65,10.61,7.43,5.29
1887,-0.24,2.29,10.54,4.47,4.36
1888,0.04,3,9.82,5.85,4.9
1889,1.13,4.62,10.74,6.25,5.55
1890,1.33,4.15,10.03,6.14,5.15
1891,-1.63,2.7,10.55,6.35,4.85
1892,0.57,2.57,10.12,5.36,4.49
1893,0.28,4.66,11.75,5.68,5.87
1894,1.62,4.22,10.8,6.69,5.92
1895,-1.4,4.35,10.84,6.08,4.91
1896,1.92,5.03,11.01,5.07,5.77
1897,1.51,4.15,11.52,6.5,5.98
1898,2.86,3.88,10.66,7.81,6.56
1899,2.97,3.58,11.71,6.53,5.77
1900,0.57,3.56,11.43,6.78,6.04
1901,1.96,3.77,11.17,5.96,5.39
1902,0.69,3.77,10.19,6.68,5.51
1903,2.97,4.52,10.26,7,6.11
1904,1.41,4.47,10.66,5.54,5.51
1905,1.61,4.46,11.29,4.83,5.7
1906,1.94,3.57,10.83,7.13,5.7
1907,0.5,3.92,9.83,6.37,5.33
1908,1.48,3.9,10.41,7.37,5.73
1909,0.72,3.2,10.01,5.9,4.94
1910,1.3,4.16,10.89,5.54,5.76
1911,2.51,4.73,11.83,6.1,6.28
1912,2.54,5.3,10.75,4.95,5.9
1913,2.6,4.79,10.44,7.75,6.33
1914,2.57,4.64,10.98,6.29,6.07
1915,1.84,3.68,10.31,4.73,5.19
1916,2.84,3.77,10.25,6.91,5.67
1917,-0.89,2.93,11.25,6.28,4.96
1918,1.41,4.29,10.3,5.66,5.85
1919,1.54,4.03,10.11,4.15,4.83
1920,2.6,5.47,10.21,6.53,6.15
1921,3.08,4.57,11.22,6.62,6.54
1922,2.14,3.62,9.71,5.31,5.19
1923,3.2,4.23,11.08,5.2,5.73
1924,1.42,3.46,10.56,7.45,6.04
1925,3.36,4.36,11.16,5.24,5.67
1926,2.18,4.86,11.45,6.2,6.34
1927,1.72,4.93,11.06,6.72,6.01
1928,1.74,4.7,10.52,6.66,5.94
1929,-0.67,3.2,10.41,6.67,5.16
1930,2.36,4.57,11.23,6.95,6.15
1931,1.15,4.01,11.06,5.96,5.67
1932,2.21,3.75,11.57,6.12,5.97
1933,1.35,5.02,12.08,6.81,6.01
1934,0.31,4,11.22,7.11,6.24
1935,3.84,4.27,11.57,6.71,6.13
1936,0.45,4.48,11.38,6.43,5.88
1937,2.72,4.72,11.4,6.13,6.1
1938,2.03,4.55,11.23,7.85,6.54
1939,2.06,4.77,11.2,6.97,6.18
1940,-1.22,4.63,10.96,6.1,5.16
1941,0.1,3.12,11.32,7.15,5.6
1942,-0.39,4.32,11.15,6.22,5.48
1943,3.31,5.11,11.27,6.49,6.27
1944,1.67,4.41,11.62,6.05,5.95
1945,0.85,5.58,11.63,8.08,6.66
1946,1.8,4.08,10.63,7.75,5.9
1947,-1.24,4.65,12.32,7.1,5.97
1948,2.52,4.68,10.92,7.03,6.31
1949,2.56,4.54,11.34,8.08,6.66
1950,2.33,4.78,11.69,6.34,5.95
1951,0.5,3.32,10.73,7.31,5.79
1952,0.89,5.83,11.47,4.72,5.52
1953,0.73,4.02,11.21,7.15,6.2
1954,1.63,4.19,10.54,7.15,5.86
1955,1.03,3.39,11.63,6.37,5.46
1956,-0.01,3.72,10.34,6.6,5.27
1957,2.78,5.39,11.12,6.8,6.39
1958,1.25,3.57,11.23,7.73,6.02
1959,0.82,5.55,11.67,7.15,6.4
1960,1.85,5.34,10.94,6.96,6.14
1961,2.15,5.48,10.56,7.08,6.17
1962,0.73,3.13,10.31,6.13,5.05
1963,-3.13,4.59,10.51,7.39,4.97
1964,0.81,5.12,10.94,6.15,5.81
1965,0.62,4.1,10.54,5.81,5.41
1966,1.88,4.57,10.94,6.51,6.07
1967,2.41,4.86,11.14,6.81,6.24
1968,0.91,3.92,10.97,8.12,5.92
1969,0.86,3.52,11.21,7.48,5.78
1970,0.6,3.97,11.34,7.49,5.98
1971,1.84,4.19,10.89,6.34,6.04
1972,2.54,4.65,10.09,5.99,5.72
1973,2.22,4.12,11.08,6.15,5.83
1974,2.55,4.04,10.49,5.7,6.01
1975,3.68,4,11.71,5.94,6.09
1976,2.68,4.25,12.02,6.63,6.13
1977,0.61,4.32,10.26,7.22,5.99
1978,1.53,4.34,10.53,7.89,5.88
1979,-1.24,3.86,10.72,6.63,5.2
1980,1.78,4.03,10.76,6.76,5.79
1981,1.57,5.41,10.86,6.54,5.65
1982,-0.56,4.33,11.66,7.19,6.04
1983,1.53,4.26,12.08,7.31,6.43
1984,1.44,3.31,11.13,7.72,5.89
1985,-0.15,4.15,10.47,6.33,5.34
1986,0.51,3.55,10.54,6.12,5.16
1987,0.67,4.22,10.81,6.59,5.58
1988,2.63,4.89,10.67,5.95,6.21
1989,3.65,4.72,11.18,7.16,6.45
1990,3.35,4.82,11.16,7.24,6.61
1991,0.11,5,10.99,6.8,5.77
1992,1.65,5.81,11.31,6.11,6.14
1993,1.91,5.25,10.54,5.09,5.89
1994,1.9,5.19,11.47,7.73,6.64
1995,2.82,4.4,12.02,7.83,6.5
1996,0.62,3.53,10.76,6.72,5.45
1997,1.14,5.13,11.89,7.14,6.59
1998,3.08,5.67,11.11,7.25,6.73
