year,metric,season,temperature_c,in_common_window,baseline_period,missing_type
1659,mean,winter,NA,FALSE,NA,structural_first_winter
1659,mean,spring,8.01,FALSE,NA,observed
1659,mean,summer,15.02,FALSE,NA,observed
1659,mean,autumn,9.34,FALSE,NA,observed
1659,mean,annual,8.87,FALSE,NA,observed
1660,mean,winter,1.96,FALSE,NA,observed
1660,mean,spring,8.66,FALSE,NA,observed
1660,mean,summer,15.01,FALSE,NA,observed
1660,mean,autumn,9.67,FALSE,NA,observed
1660,mean,annual,9.1,FALSE,NA,observed
1661,mean,winter,5,FALSE,NA,observed
1661,mean,spring,8.34,FALSE,NA,observed
1661,mean,summer,14.67,FALSE,NA,observed
1661,mean,autumn,10.67,FALSE,NA,observed
1661,mean,annual,9.78,FALSE,NA,observed
1662,mean,winter,5.66,FALSE,NA,observed
1662,mean,spring,8.34,FALSE,NA,observed
1662,mean,summer,15,FALSE,NA,observed
1662,mean,autumn,10.01,FALSE,NA,observed
1662,mean,annual,9.52,FALSE,NA,observed
1663,mean,winter,1.69,FALSE,NA,observed
1663,mean,spring,7.34,FALSE,NA,observed
1663,mean,summer,14.67,FALSE,NA,observed
1663,mean,autumn,10,FALSE,NA,observed
1663,mean,annual,8.63,FALSE,NA,observed
1664,mean,winter,4.66,FALSE,NA,observed
1664,mean,spring,8,FALSE,NA,observed
1664,mean,summer,15.67,FALSE,NA,observed
1664,mean,autumn,9.33,FALSE,NA,observed
1664,mean,annual,9.34,FALSE,NA,observed
1665,mean,winter,2.03,FALSE,NA,observed
1665,mean,spring,7.34,FALSE,NA,observed
1665,mean,summer,15.01,FALSE,NA,observed
1665,mean,autumn,9.33,FALSE,NA,observed
1665,mean,annual,8.29,FALSE,NA,observed
1666,mean,winter,3.62,FALSE,NA,observed
1666,mean,spring,8.34,FALSE,NA,observed
1666,mean,summer,16.68,FALSE,NA,observed
1666,mean,autumn,10.34,FALSE,NA,observed
1666,mean,annual,9.86,FALSE,NA,observed
1667,mean,winter,2.28,FALSE,NA,observed
1667,mean,spring,6.33,FALSE,NA,observed
1667,mean,summer,16.01,FALSE,NA,observed
1667,mean,autumn,9.33,FALSE,NA,observed
1667,mean,annual,8.52,FALSE,NA,observed
1668,mean,winter,4.32,FALSE,NA,observed
1668,mean,spring,7.66,FALSE,NA,observed
1668,mean,summer,15.35,FALSE,NA,observed
1668,mean,autumn,10,FALSE,NA,observed
1668,mean,annual,9.51,FALSE,NA,observed
1669,mean,winter,3.31,FALSE,NA,observed
