Conventions,G,BADC-CSV,1
title,G,Central England Temperature (CET) Maximum seasonal temperatures ranked from warmest to coldest
source,G,Met Office Central England Temperature dataset
creator,G,Met Office
activity,G,Met Office Central England Temperature dataset
collection_name,G,Central England Temperature
collection_version_number,G,v2.1.0.0
feature_type,G,point series
history,G,Created 2025-03-12
last_revised_date,G,2025-03-12
date_valid,G,1878-01-01,2024-12-31
coordinate_variable,rank,t
long_name,rank,Rank,s
type,rank,char
comments,G,Data represents the ranking of the CET seasonal mean temperatures by season from warmest year to coldest year
comments,G,The ranking of warmest years on record is also included in the annual columns at the end of the file
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
long_name,winter,Seasonal Central England Temperature values for Winter,degC
type,winter,float
comments,winter,seasonal average temperature series for Winter ranked from warmest to coldest
long_name,winter_year,Winter rank year,1
type,winter_year,char
comments,winter_year,year of ranked Winter seasonal series value
long_name,spring,Seasonal Central England Temperature values for Spring,degC
type,spring,float
comments,spring,seasonal average temperature series for Spring ranked from warmest to coldest
long_name,spring_year,Spring rank year,1
type,spring_year,char
comments,spring_year,year of ranked Spring seasonal series value
long_name,summer,Seasonal Central England Temperature values for Summer,degC
type,summer,float
comments,summer,seasonal average temperature series for Summer ranked from warmest to coldest
long_name,summer_year,Summer rank year,1
type,summer_year,char
comments,summer_year,year of ranked Summer seasonal series value
long_name,autumn,Seasonal Central England Temperature values for Autumn,degC
type,autumn,float
comments,autumn,seasonal average temperature series for Autumn ranked from warmest to coldest
long_name,autumn_year,Autumn rank year,1
type,autumn_year,char
comments,autumn_year,year of ranked Autumn seasonal series value
long_name,annual,Annual Central England Temperature values,degC
type,annual,float
comments,annual,annual average temperature ranked from warmest to coldest
long_name,year,Rank year,1
type,year,char
comments,year,Year of ranked annual series value
long_name,rank_reverse,Reverse rank,1
type,rank_reverse,char
comments,rank_reverse,reverse rank of seasons/years from coldest to warmest
data
rank,winter,winter_year,spring,spring_year,summer,summer_year,autumn,autumn_year,annual,year,rank_reverse
1,9.80,2016,15.74,1893,23.42,1976,16.16,2006,15.31,2022,147
2,9.34,1989,15.11,2020,22.76,2018,15.94,1959,14.96,2023,146
3,9.28,2024,14.92,2011,22.64,1995,15.90,2011,14.78,2014,145
4,9.23,2007,14.66,2022,22.50,2022,15.84,2023,14.78,2003,144
5,9.19,1975,14.65,2017,22.22,2003,15.69,2022,14.75,2018,143
6,9.19,2019,14.56,2007,22.19,1899,15.46,2014,14.75,2020,142
7,9.12,2020,14.55,1945,22.19,2006,15.24,2021,14.65,1959,141
8,9.08,2014,14.54,2003,22.16,1911,15.05,2005,14.62,1949,140
9,9.05,2008,14.46,1948,22.07,1975,14.99,1949,14.60,2006,139
10,8.98,2022,14.45,1990,22.07,1983,14.84,1995,14.58,2011,138
11,8.95,1990,14.38,2024,21.95,1933,14.83,1999,14.58,1990,137
12,8.93,1998,14.26,2014,21.78,1947,14.80,1978,14.56,2024,136
13,8.84,1995,14.17,1997,21.68,1949,14.73,2009,14.49,1995,135
14,8.70,1949,14.12,2009,21.68,1887,14.71,2003,14.48,1921,134
15,8.61,1899,14.12,1959,21.62,1989,14.70,1947,14.47,1989,133
16,8.51,1920,14.07,1943,21.50,1984,14.65,1898,14.43,1997,132
17,8.48,1943,14.06,1992,21.50,1955,14.65,2001,14.37,1999,131
18,8.44,1935,13.98,1961,21.49,1959,14.61,2015,14.34,2019,130
19,8.37,1999,13.91,2019,21.22,1997,14.60,1938,14.33,2017,129
20,8.36,1916,13.91,1952,21.21,1921,14.56,2018,14.28,2002,128
21,8.35,2002,13.86,1933,21.20,1893,14.54,1971,14.26,2007,127
22,8.32,2023,13.85,2002,21.17,2013,14.52,2020,14.24,2005,126
23,8.31,2017,13.85,1999,21.14,1934,14.51,1913,14.21,2015,125
24,8.29,2000,13.75,1938,21.08,1990,14.49,1997,14.20,2016,124
25,8.27,1974,13.57,2018,21.05,2023,14.48,2002,14.16,2004,123
26,8.23,1957,13.55,1957,20.99,1935,14.44,1970,14.15,1893,122
27,8.21,1925,13.53,2012,20.91,2005,14.43,1921,14.09,2021,121
28,8.17,2012,13.51,1940,20.90,1996,14.38,1929,13.91,1945,120
29,8.14,1923,13.51,2023,20.88,2019,14.34,2016,13.89,1911,119
